dataset,vega-lite,command,query,question
music_4_music_festival,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the total volume of awards per category across different music festivals.', 'data': {'url': 'spider_csv/music_4_music_festival.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Category', 'type': 'nominal', 'axis': {'title': 'Award Category'}}, 'y': {'field': 'Music_Festival', 'type': 'nominal', 'axis': {'title': 'Music Festival'}}, 'color': {'field': 'Volume', 'type': 'quantitative', 'aggregate': 'sum', 'scale': {'scheme': 'redyellowblue'}, 'legend': {'title': 'Total Volume of Awards'}}}}","[""Create a heatmap with 'Category' on the x-axis and 'Music Festival' on the y-axis, using color to show the sum of 'Volume'.""]","['Heatmap of Category by Music Festival, color encoding sum of Volume.']",['How does the sum of Volume vary across Categories at different Music Festivals?']
party_host_HOST,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the count of party hosts by age and nationality.', 'data': {'url': 'spider_csv/party_host_HOST.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Age', 'type': 'quantitative', 'bin': True}, 'y': {'field': 'Nationality', 'type': 'nominal'}, 'color': {'aggregate': 'count', 'type': 'quantitative'}}}","[""Create a heatmap with binned 'Age' on the x-axis and 'Nationality' (limited to 'United States', 'Hungary', and 'Argentina') on the y-axis, and color-code the rectangles by the count of party hosts.""]","[""Heatmap of count party hosts by binned 'Age' and 'Nationality' (United States, Hungary, Argentina)""]","[""How does the count of party hosts vary across binned 'Age' categories for nationalities 'United States', 'Hungary', and 'Argentina'?""]"
party_host_party,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the number of hosts across the first and last years of party events.', 'data': {'url': 'spider_csv/party_host_party.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'First_year', 'type': 'temporal', 'timeUnit': 'year'}, 'y': {'field': 'Last_year', 'type': 'temporal', 'timeUnit': 'year'}, 'color': {'field': 'Number_of_hosts', 'type': 'quantitative', 'aggregate': 'sum'}}}","[""Create a heatmap with the 'Year of the First Event' on the x-axis, the 'Year of the Last Event' on the y-axis, and color-code the rectangles by the sum of 'Total Number of Hosts'.""]","[""Heatmap of 'Year of First Event' vs 'Year of Last Event', colored by sum('Total Number of Hosts').""]",["How does the sum of 'Total Number of Hosts' vary between the 'Year of the First Event' and the 'Year of the Last Event'?"]
poker_player_poker_player,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': ""A heatmap of poker players' earnings based on the number of final tables made and their best finish position."", 'data': {'url': 'spider_csv/poker_player_poker_player.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Final_Table_Made', 'type': 'quantitative', 'bin': True}, 'y': {'field': 'Best_Finish', 'type': 'ordinal', 'bin': {'maxbins': 3}}, 'color': {'field': 'Earnings', 'type': 'quantitative', 'aggregate': 'sum'}}}","[""Create a heatmap with the binned 'Number_of_Final_Tables' on the x-axis, the categorized 'Best_Placement' on the y-axis, and color-code the cells with the summed 'Total_Earnings'.""]","['Heatmap of sum(Total_Earnings) by bin(Number_of_Final_Tables), Best_Placement']",["How do the summed total earnings vary across different binned 'Number_of_Final_Tables' and 'Best_Placement' categories?"]
protein_institute_building,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap of the number of floors vs height of the Protein Institute buildings.', 'data': {'url': 'spider_csv/protein_institute_building.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Height_feet', 'type': 'quantitative', 'bin': True}, 'y': {'field': 'Floors', 'type': 'ordinal'}, 'color': {'aggregate': 'count', 'type': 'quantitative'}}}","[""Create a heatmap with 'Height (in feet)' binned on the x-axis and 'Number of Floors' with values [12, 10, 17] on the y-axis, shading rectangles by count of combinations.""]","[""Heatmap of count('Number of Floors', 'Height (in feet)' binned) with y-axis 'Number of Floors' [12, 10, 17]""]","[""How does the count vary across 'Height (in feet)' and 'Number of Floors' with values [12, 10, 17]?""]"
restaurant_1_Student,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap of student distribution by age and major.', 'data': {'url': 'spider_csv/restaurant_1_Student.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Age', 'type': 'quantitative', 'bin': True}, 'y': {'field': 'Major', 'type': 'ordinal'}, 'color': {'aggregate': 'count', 'type': 'quantitative'}}}","[""Create a heatmap with binned 'Age' on the x-axis and 'Field of Study' (Major synonyms 600, 520, 540) on the y-axis, using color to show student counts per bin and field.""]","['Heatmap of count(students) by Age(binned) vs Field of Study(Major synonyms 600, 520, 540).']","[""How do student counts vary across binned 'Age' and 'Field of Study' categories (Major synonyms 600, 520, 540)?""]"
riding_club_player,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the number of votes received by players at each rank.', 'data': {'url': 'spider_csv/riding_club_player.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'y': {'field': 'Rank', 'type': 'ordinal'}, 'x': {'field': 'Votes', 'type': 'quantitative', 'bin': True}, 'color': {'field': 'Votes', 'type': 'quantitative', 'aggregate': 'sum'}}}","[""Create a heatmap with 'Position' on the y-axis, 'Vote Count' on the x-axis binned, and color encoded by the sum of 'Vote Count'.""]","['Heatmap of Position by Vote Count, binned, with color encoding of sum(Vote Count).']",['How does the sum of Vote Count vary across different Positions in a heatmap?']
school_bus_driver,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap of school bus driver ages by home city.', 'data': {'url': 'spider_csv/school_bus_driver.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Home_city', 'type': 'ordinal'}, 'y': {'bin': {'maxbins': 10}, 'field': 'Age', 'type': 'quantitative'}, 'color': {'aggregate': 'count', 'field': 'Age', 'type': 'quantitative', 'scale': {'scheme': 'greenblue'}}}}","[""Create a heatmap with 'Location' on the x-axis, binned 'Age' on the y-axis, and color the rectangles based on 'Age' count using a greenblue color scheme.""]","['Heatmap of Location vs binned Age, colored by Age count with greenblue scheme.']","['How does the count of Age vary across different Locations when binned into 10 categories, as shown in a greenblue heatmap?']"
school_finance_endowment,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the total amount donated by each donor to different schools.', 'data': {'url': 'spider_csv/school_finance_endowment.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'School_id', 'type': 'ordinal'}, 'y': {'field': 'donator_name', 'type': 'ordinal'}, 'color': {'field': 'amount', 'type': 'quantitative', 'aggregate': 'sum'}}}","[""Create a heatmap with schools' 'Identifier' on the x-axis, 'Donor Name' on the y-axis, and color-coded total 'Donation Amount' by sum.""]","['Heatmap of Identifier by Donor Name, color sum of Donation Amount.']",["How do the total donation amounts vary across different schools' identifiers and donor names?"]
ship_1_captain,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': ""A heatmap chart showing the distribution of ship captains' age by rank."", 'data': {'url': 'spider_csv/ship_1_captain.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Rank', 'type': 'ordinal'}, 'y': {'bin': {'maxbins': 10}, 'field': 'age', 'type': 'quantitative'}, 'color': {'aggregate': 'count', 'type': 'quantitative'}}}","[""Create a heatmap with the 'Position' field on the x-axis as an ordinal data type and the 'Age' field binned on the y-axis into a maximum of 10 bins, using the count of data points to color the rectangles.""]","['Heatmap of Position vs Age, with Position as ordinal and Age binned to 10, colored by count of data points.']",["How does the count of data points vary across different 'Position' and binned 'Age' groups?"]
ship_mission_ship,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the aggregated tonnage of ships by type and nationality.', 'data': {'url': 'spider_csv/ship_mission_ship.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Type', 'type': 'ordinal'}, 'y': {'field': 'Nationality', 'type': 'ordinal'}, 'color': {'field': 'Tonnage', 'type': 'quantitative', 'aggregate': 'sum'}}}","['Create a heatmap with ship types on the x-axis, countries of origin on the y-axis, and color-code by the summed total tonnage of each ship type and nationality.']","['Heatmap of Ship Type vs Country of Origin, color-coded by sum of Total Tonnage']",['How does the total tonnage vary across ship types and countries of origin?']
station_weather_station,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the count of station networks per service and local authority combination.', 'data': {'url': 'spider_csv/station_weather_station.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'services', 'type': 'nominal', 'sort': {'field': 'id'}}, 'y': {'field': 'local_authority', 'type': 'nominal', 'sort': {'field': 'id'}}, 'color': {'aggregate': 'count', 'type': 'quantitative'}}}","[""Create a heatmap with 'Transport Lines' on the x-axis and 'Council Areas' on the y-axis, and color the rectangles by count.""]","['Heatmap of Transport Lines vs Council Areas, ordered by nominal sort, colored by count.']",["How do the counts of 'Transport Lines' vary across 'Council Areas'?"]
station_weather_weekly_weather,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the maximum recorded temperature for each day of the week across different weather stations.', 'data': {'url': 'spider_csv/station_weather_weekly_weather.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'day_of_week', 'type': 'nominal', 'axis': {'title': 'Day of the Week'}}, 'y': {'field': 'station_id', 'type': 'nominal', 'axis': {'title': 'Weather Station ID'}}, 'color': {'field': 'high_temperature', 'type': 'quantitative', 'scale': {'scheme': 'redyellowblue'}, 'legend': {'title': 'High Temperature (Fahrenheit)'}}}}","['Create a heatmap with days of the week on the x-axis and weather station IDs on the y-axis, using color to represent high temperatures.']",['Heatmap of high temperatures by day of the week vs weather station ID.'],['How do high temperatures vary by day of the week and weather station ID?']
store_product_store,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the distribution of store area sizes against the number of product categories available.', 'data': {'url': 'spider_csv/store_product_store.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Area_size', 'type': 'quantitative', 'bin': True}, 'y': {'field': 'Number_of_product_category', 'type': 'quantitative', 'bin': True}, 'color': {'aggregate': 'count', 'type': 'quantitative'}}}",["Create a heatmap with the 'Store Area Size' binned on the x-axis."],["Heatmap of binned 'Store Area Size' on x-axis."],["How does the 'Store Area Size' vary when binned and represented in a heatmap on the x-axis?"]
student_1_list,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap of student distribution across grades and classrooms.', 'data': {'url': 'spider_csv/student_1_list.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Grade', 'type': 'ordinal'}, 'y': {'field': 'Classroom', 'type': 'ordinal'}, 'color': {'aggregate': 'count', 'field': '*', 'type': 'quantitative'}}}","[""Create a heatmap with 'Grades' on the x-axis and 'Rooms' on the y-axis, colorcoding rectangles by record count.""]","['Heatmap of Grades vs Rooms, colored by count']",['How do the counts of records vary across Grades and Rooms?']
swimming_stadium,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap of swimming stadiums by the year they were opened and their capacity.', 'data': {'url': 'spider_csv/swimming_stadium.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Opening_year', 'type': 'ordinal', 'timeUnit': 'year'}, 'y': {'field': 'Capacity', 'type': 'ordinal', 'bin': True}, 'color': {'aggregate': 'count', 'type': 'quantitative'}}}","[""Create a heatmap with 'Year Opened' on the x-axis, 'Seating Capacity' on the y-axis, and color encode by record count.""]",['heatmap of count by Year_Opened and Capacity'],["How does the count of records vary by 'Year Opened' and 'Seating Capacity'?"]
voter_2_STUDENT,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap of student voters by age and major.', 'data': {'url': 'spider_csv/voter_2_STUDENT.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Age', 'type': 'quantitative', 'bin': True}, 'y': {'field': 'Major', 'type': 'ordinal'}, 'color': {'aggregate': 'count', 'type': 'quantitative'}}}","[""Create a heatmap with binned 'Age' on the x-axis and categorized 'Major' on the y-axis, coloring the rectangles by record count.""]",['Heatmap of count by Age bins and Major categories.'],['How does the count vary across different Age bins and Major categories?']
workshop_paper_workshop,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the number of workshops per month and venue.', 'data': {'url': 'spider_csv/workshop_paper_workshop.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Date', 'type': 'temporal', 'timeUnit': 'month', 'axis': {'title': 'Month'}}, 'y': {'field': 'Venue', 'type': 'ordinal', 'axis': {'title': 'Venue'}}, 'color': {'aggregate': 'count', 'type': 'quantitative', 'scale': {'scheme': 'greenblue'}}}}",["Create a heatmap with 'Month' on the x-axis and 'Location' on the y-axis."],['Heatmap of Month by Location'],['How does the data vary across months for different locations?']
